case,location,date,summary,fatalities,injured,total_victims,location,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,latitude,longitude,type,year
San Jose VTA shooting,"San Jose, California",5-26-21,"Samuel Cassidy, 57, a Valley Transportation Authorty employee, opened fire at a union meeting at the light rail facility, soon also fatally shooting himself at the scene. Before the attack, Cassidy had set fire to his own house, where he also had firearms and a stockpile of ammunition. His legal history included his ex-wife filing a restraining order against him in 2009.",9,0,9,Workplace,57,yes,"Perpetrator had a history of depression, angry behavior and making people around him fearful; former intimate partners decribed him as being mentally unstable",-,-,semiautomatic handguns,-,-,M,37.316097,-121.888533,Mass,2021
FedEx warehouse shooting,"Indianapolis, Indiana",4-15-21,"Brandon Scott Hole, 19, opened fire around 11 p.m. in the parking lot and inside the warehouse, and then shot himself fatally as police responded to the scene.",8,7,15,Workplace,19,yes,Perpetrator had been reported to police in 2020 by his mother as potentially suicidal; he was detained by authorities on a temporary mental health hold,yes,-,semiautomatic rifle,-,White,M,39.68663,-86.32313,Mass,2021
Orange office complex shooting,"Orange, California",3-31-21,"Aminadab Gaxiola Gonzalez, 44, allegedly opened fire inside a small business at an office complex, killing at least four victims, including a nine-year-old boy, before being wounded in a confrontation with police and taken into custody. According to law enforcement officials, Gonzalez had chained the front and rear gates to the complex with bicycle cable locks to hinder police response.",4,1,5,Workplace,44,-,-,-,-,semiautomatic handgun,-,-,M,33.83542,-117.85379,Mass,2021
Boulder supermarket shooting,"Boulder, Colorado",3-22-21,"Ahmad Al Aliwi Alissa, 21, carried out a mass shooting at a King Soopers that left 10 victims dead, including veteran police officer Eric Talley, who was the first officer to respond on the scene. Alissa was wounded by police and taken into custody.",10,0,10,Workplace,21,yes,Brother described him as paranoid; multiple accounts of anger issues from others who knew him. Misdemeanor criminal record for a violent assault during his senior year in high school.,Yes,-,"semiautomatic rifle, semiautomatic handgun; tactical vest",Ruger AR-556; weapon was purchased six days before the attack,-,M,39.986961,-105.251168,Mass,2021
Atlanta massage parlor shootings,"Atlanta, Georgia",3-16-21,"Robert Aaron Long, 21, killed eight people at three massage parlors. An additional victim was injured. Six of the deceased victims were women of Asian descent. According to law enforcement officials, Long, who is white, made claims in custody about having sexual addiction issues, and had frequented the massage parlors. He also spoke of intent to attack additional locations in Florida.",8,1,9,Workplace,21,-,-,-,-,semiautomatic handgun,-,White,M,34.111653,-84.580376,Spree,2021
Springfield convenience store shooting,"Springfield, Missouri",3-16-20,"Joaquin S. Roman, 31, went on a rampage culminating at a Kum & Go, killing four people, including a police officer, before fatally shooting himself on the scene.",4,0,4,Workplace,31,-,-,Yes,-,semiautomatic rifle; semiautomatic handgun,SKS 7.62-caliber rifle; Glock 9mm,-,M,37.210432,-93.23686,Mass,2020
Molson Coors shooting,"Milwaukee, Wisconsin",2-26-20,"Anthony Ferrill, 51, an employee armed with two handguns, including one with a silencer, opened fire on the Milwaukee campus of the beer company, killing five people and then committing suicide. According to the Milwaukee Journal Sentinel, Ferrill ""had been involved in a long-running dispute with a co-worker that boiled over"" in the run-up to the attack.",5,0,5,Workplace,51,-,-,-,-,semiautomatic handgun,-,Black,M,43.044511,-87.962537,Mass,2020
Jersey City kosher market shooting,"Jersey City, New Jersey",12-10-19,"David N. Anderson, 47, and Francine Graham, 50, were heavily armed and traveling in a white van when they first killed a police officer in a cemetery, and then opened fire at a kosher market, “fueled both by anti-Semitism and anti-law enforcement beliefs,” according to New Jersey authorities. The pair, linked to the antisemitic ideology of the Black Hebrew Israelites extremist group, were killed after a lenghty gun battle with police at the market.",4,3,7,Other,-,-,-,-,-,semiautomatic rifle; shotgun; semiautomatic handguns,"AR-15-style rifle; Mossberg 12-gauge shotgun; 9mm Ruger pistol, 9mm Glock 17",Black,Male & Female,40.707363,-74.083609,Spree,2019
Pensacola Naval base shooting,"Pensacola, Florida",12-6-19,"Ahmed Mohammed al-Shamrani, 21, a Saudi Arabian military pilot training in the United States, opened fire just before 7 a.m. in an air station classroom. He was soon shot and killed by responding Florida sheriff’s deputies.",3,8,11,Military,21,-,-,-,-,semiautomatic handgun,-,-,M,30.364707,-87.288567,Mass,2019
Odessa-Midland shooting spree,"Odessa, Texas",8-31-19,"Seth A. Ator, 36, fired at police officers who stopped him for a traffic violation, and then went on a driving rampage in the Odessa-Midland region, where he also shot a postal worker and stole her vehicle. He was shot dead by law enforcement responding to the rampage. Ator had been fired from a job just prior to the attack (though per the FBI he had shown up to that job ""already enraged""). He had a criminal record and ""a long history of mental problems and making racist comments,"" according to a family friend who spoke to the media.",7,25,32,Other,36,yes,"""One friend of the family said the gunman had a long history of mental problems, trouble with the law and making racist comments,"" according to a report in the New York Times.",-,-,semiautomatic rifle,-,White,M,31.925974,-102.2796,Spree,2019
